School,Cases
UofA.txt,3037
Auburn.txt,2047
UA_Fairbanks.txt,94
UA_Anchorage.txt,10
U of Arizona.txt,2517
ASU.txt,2518
UArkansas.txt,2262
UCLA.txt,251
Stanford.txt,165
Caltech.txt,29
Cal.txt,0
UDEnver.txt,289
CU_Boulder.txt,1943
Yale.txt,244
UConn.txt,414
Wesley.txt,15
UDel.txt,482
Univ_Florida.txt,4461
UMiami.txt,746
GeorgiaTech.txt,1102
Emory.txt,234
UofH.txt,24
UofIdaho.txt,452
BoiseState.txt,605
UChicago.txt,224
Illiani.txt,1528
UIndiana.txt,3369
Purdue.txt,1853
Hawkeyes.txt,148
Grinnell.txt,11
Unversity_of_Maine,26
New_England_University,23
BowdoinU.txt,3
UMaryland,826
JohnsHopkins.txt,477
Umass_Amherst,180
Harvard.txt,105
BU,252
UMich.txt,2058
MichState.txt,1813
UMinn.txt,416
Carleton.txt,16
OleMiss.txt,781
MissState.txt,607
WUSTL.txt,109
UMissouri.txt,2101
MontanaState.txt,513
Carroll.txt,47
University_of_New_Hampshire,275
Dartmouth,23
NYU,455
Columbia,98
UPenn,660
Temple_U,711
U_Rhode_Island,462
Brown,43
University_of_Vermont,19
Northern_Vermont_University,1
